[06:14:00] ====================================
[06:14:00] Dumping class: PlayerManager
[06:14:00] ====================================
[06:14:00] crew_ability_upgrade_value (function)
[06:14:00] update_husk_player_turret_to_peer (function)
[06:14:00] sync_exit_player_turret (function)
[06:14:00] get_synced_cocaine_stacks (function)
[06:14:00] players (function)
[06:14:00] sync_enter_player_turret (function)
[06:14:00] spawned_player (function)
[06:14:00] server_player_turret_action (function)
[06:14:00] smoke_screens (function)
[06:14:00] crew_ai_ap_ammo (function)
[06:14:00] reset_melee_dmg_multiplier (function)
[06:14:00] aquire_cooldown_upgrade (function)
[06:14:00] get_cocaine_damage_absorption_from_peer_id (function)
[06:14:00] _change_player_state (function)
[06:14:00] crew_add_concealment (function)
[06:14:00] update_poison_gas (function)
[06:14:00] spawn_poison_gas (function)
[06:14:00] report_weapon_ammo_gains (function)
[06:14:00] _dodge_replenish_armor (function)
[06:14:00] viewport_config (function)
[06:14:00] num_local_minions (function)
[06:14:00] reset_ability_hud (function)
[06:14:00] dye_pack_exploded (function)
[06:14:00] damage_reduction_skill_multiplier (function)
[06:14:00] get_timer_remaining (function)
[06:14:00] health_skill_multiplier (function)
[06:14:00] on_used_body_bag (function)
[06:14:00] _on_messiah_recharge_event (function)
[06:14:00] _update_timers (function)
[06:14:00] deactivate_temporary_upgrade (function)
[06:14:00] on_simulation_started (function)
[06:14:00] current_sync_state (function)
[06:14:00] clbk_copr_ability_ended (function)
[06:14:00] toggle_player_rule (function)
[06:14:00] add_special (function)
[06:14:00] verify_equipment (function)
[06:14:00] add_weapon_ammo_gain (function)
[06:14:00] get_bipod_data_for_peer (function)
[06:14:00] add_cable_ties (function)
[06:14:00] exit_vehicle (function)
[06:14:00] carry_blocked_by_cooldown (function)
[06:14:00] _get_best_max_cocaine_damage_absorption_ratio (function)
[06:14:00] remove_synced_carry (function)
[06:14:00] add_copr_risen_cooldown (function)
[06:14:00] remove_coroutine (function)
[06:14:00] drop_carry (function)
[06:14:00] _on_enter_trigger_happy_event (function)
[06:14:00] sync_save (function)
[06:14:00] can_pickup_equipment (function)
[06:14:00] _on_enemy_killed_bloodthirst (function)
[06:14:00] server_drop_carry (function)
[06:14:00] remove_from_player_list (function)
[06:14:00] _attempt_tag_team (function)
[06:14:00] _on_enter_ammo_efficiency_event (function)
[06:14:00] list_level_rewards (function)
[06:14:00] get_synced_ammo_info (function)
[06:14:00] get_equipped_weapon_category (function)
[06:14:00] _attempt_pocket_ecm_jammer (function)
[06:14:00] _attempt_chico_injector (function)
[06:14:00] _is_all_in_custody (function)
[06:14:00] mul_to_property (function)
[06:14:00] activate_synced_temporary_team_upgrade (function)
[06:14:00] unaquire_melee_weapon (function)
[06:14:00] _verify_equipment_kit (function)
[06:14:00] transfer_from_custody_special_equipment_to (function)
[06:14:00] temporary_upgrade_index (function)
[06:14:00] on_hallowSPOOCed (function)
[06:14:00] get_temporary_property (function)
[06:14:00] enter_vehicle (function)
[06:14:00] _play_pda9_headshot_event (function)
[06:14:00] _clbk_crew_ai_cable_ties (function)
[06:14:00] clbk_super_syndrome_respawn (function)
[06:14:00] has_category_upgrade (function)
[06:14:00] bank_carry (function)
[06:14:00] init_auto_respawn_callback (function)
[06:14:00] set_damage_absorption (function)
[06:14:00] remove_equipment (function)
[06:14:00] captured_hostage (function)
[06:14:00] equipped_weapon_unit (function)
[06:14:00] on_ammo_increase (function)
[06:14:00] get_melee_dmg_multiplier (function)
[06:14:00] get_infamy_exp_multiplier (function)
[06:14:00] sync_tag_team (function)
[06:14:00] unaquire_upgrade (function)
[06:14:00] debug_print_player_status (function)
[06:14:00] remove_copr_risen_cooldown (function)
[06:14:00] _chk_equipment_waiting_for_response (function)
[06:14:00] _exit_vehicle (function)
[06:14:00] update_player_list (function)
[06:14:00] get_current_state (function)
[06:14:00] add_grenade_amount (function)
[06:14:00] get_vehicle_for_peer (function)
[06:14:00] get_vehicle (function)
[06:14:00] fixed_health_regen (function)
[06:14:00] _enter_vehicle (function)
[06:14:00] sync_enter_vehicle (function)
[06:14:00] update_cached_detection_risk (function)
[06:14:00] health_skill_addend (function)
[06:14:00] add_to_property (function)
[06:14:00] upgrade_level_nil (function)
[06:14:00] set_synced_bipod (function)
[06:14:00] set_bipod_data_for_peer (function)
[06:14:00] set_husk_bipod_data (function)
[06:14:00] _get_cocaine_damage_absorption_from_data (function)
[06:14:00] add_equipment_amount (function)
[06:14:00] has_disabled_cooldown_upgrade (function)
[06:14:00] init (function)
[06:14:00] selected_equipment_id (function)
[06:14:00] set_equipment_setting (function)
[06:14:00] get_equipment_setting (function)
[06:14:00] player_id (function)
[06:14:00] on_peer_synch_request (function)
[06:14:00] crew_ai_flashbang (function)
[06:14:00] soft_reset (function)
[06:14:00] get_limited_exp_multiplier (function)
[06:14:00] mod_movement_penalty (function)
[06:14:00] change_stockholm_syndrome_count (function)
[06:14:00] reset (function)
[06:14:00] add_sentry_gun (function)
[06:14:00] count_copr_ability_players (function)
[06:14:00] sync_load (function)
[06:14:00] use_messiah_charge (function)
[06:14:00] _attempt_copr_ability (function)
[06:14:00] get_skill_exp_multiplier (function)
[06:14:00] got_max_grenades (function)
[06:14:00] player_timer (function)
[06:14:00] max_body_bags (function)
[06:14:00] get_all_synced_carry (function)
[06:14:00] has_max_body_bags (function)
[06:14:00] remove_equipment_possession (function)
[06:14:00] get_local_cocaine_damage_absorption_ratio (function)
[06:14:00] preload (function)
[06:14:00] total_body_bags (function)
[06:14:00] max_health (function)
[06:14:00] mul_to_accuracy_multiplier (function)
[06:14:00] _check_damage_to_hot (function)
[06:14:00] unaquire_weapon (function)
[06:14:00] _equipped_upgrade_value (function)
[06:14:00] add_body_bags_amount (function)
[06:14:00] _set_body_bags_amount (function)
[06:14:00] has_active_temporary_property (function)
[06:14:00] chk_body_bags_depleted (function)
[06:14:00] remove_special (function)
[06:14:00] has_activate_temporary_upgrade (function)
[06:14:00] get_body_bags_amount (function)
[06:14:00] get_timer (function)
[06:14:00] is_carrying (function)
[06:14:00] add_coroutine (function)
[06:14:00] update_smoke_screens (function)
[06:14:00] count_down_player_minions (function)
[06:14:00] remove_ammo_from_pool (function)
[06:14:00] upgrade_level (function)
[06:14:00] check_damage_carry (function)
[06:14:00] can_carry (function)
[06:14:00] get_damage_health_ratio (function)
[06:14:00] sync_carry_data (function)
[06:14:00] end_tag_team (function)
[06:14:00] WEAPON_SLOTS (number)
[06:14:00] health_regen (function)
[06:14:00] init_finalize (function)
[06:14:00] get_synced_deployable_equipment (function)
[06:14:00] aquire_equipment (function)
[06:14:00] has_grenade (function)
[06:14:00] save (function)
[06:14:00] get_max_grenades_by_peer_id (function)
[06:14:00] has_weapon (function)
[06:14:00] remove_temporary_property (function)
[06:14:00] can_throw_grenade (function)
[06:14:00] temporary_upgrade_value (function)
[06:14:00] selected_equipment_sound_interupt (function)
[06:14:00] team_upgrade_value (function)
[06:14:00] update_grenades_to_peer (function)
[06:14:00] get_grenade_amount (function)
[06:14:00] set_synced_grenades (function)
[06:14:00] update_grenades_amount_to_peers (function)
[06:14:00] damage_absorption (function)
[06:14:00] get_synced_grenades (function)
[06:14:00] _can_pickup_special_equipment (function)
[06:14:00] has_special_equipment (function)
[06:14:00] switch_equipment (function)
[06:14:00] equipment_data_by_name (function)
[06:14:00] is_current_weapon_of_category (function)
[06:14:00] is_upgrade_synced (function)
[06:14:00] add_spy_camera (function)
[06:14:00] unaquire_incremental_upgrade (function)
[06:14:00] register_grenade (function)
[06:14:00] verify_grenade (function)
[06:14:00] get_synced_cable_ties (function)
[06:14:00] is_custom_cooldown_not_active (function)
[06:14:00] check_equipment_placement_valid (function)
[06:14:00] selected_equipment_sound_start (function)
[06:14:00] __module__ (table)
[06:14:00] selected_equipment_deploying_text (function)
[06:14:00] selected_equipment_limit_movement (function)
[06:14:00] remove_equipment_setting (function)
[06:14:00] aquire_team_upgrade (function)
[06:14:00] body_armor_value (function)
[06:14:00] selected_equipment (function)
[06:14:00] extend_temporary_upgrade (function)
[06:14:00] has_inactivate_temporary_upgrade (function)
[06:14:00] _add_equipment (function)
[06:14:00] aquire_weapon (function)
[06:14:00] transfer_special_equipment (function)
[06:14:00] body_armor_skill_multiplier (function)
[06:14:00] set_melee_dmg_multiplier (function)
[06:14:00] _add_level_equipment (function)
[06:14:00] has_aquired_equipment (function)
[06:14:00] get_peer_cocaine_damage_absorption_max_ratio (function)
[06:14:00] attempt_ability (function)
[06:14:00] aquire_default_upgrades (function)
[06:14:00] add_to_temporary_property (function)
[06:14:00] aquire_incremental_upgrade (function)
[06:14:00] _on_messiah_event (function)
[06:14:00] register_message (function)
[06:14:00] set_carry (function)
[06:14:00] set_nr_players (function)
[06:14:00] get_hostage_bonus_addend (function)
[06:14:00] get_hostage_bonus_multiplier (function)
[06:14:00] update_deployable_equipment_to_peer (function)
[06:14:00] num_connected_players (function)
[06:14:00] nr_players (function)
[06:14:00] _on_spawn_extra_ammo_event (function)
[06:14:00] update_cocaine_stacks_to_peer (function)
[06:14:00] has_total_body_bags (function)
[06:14:00] num_players_with_more_health (function)
[06:14:00] reset_used_body_bag (function)
[06:14:00] spawn_extra_ammo (function)
[06:14:00] has_team_category_upgrade (function)
[06:14:00] set_synced_ammo_info (function)
[06:14:00] activate_temporary_upgrade_by_level (function)
[06:14:00] send_message (function)
[06:14:00] set_synced_cable_ties (function)
[06:14:00] upgrade_value_nil (function)
[06:14:00] get_property (function)
[06:14:00] update_synced_ammo_info_to_peers (function)
[06:14:00] update (function)
[06:14:00] unaquire_grenade (function)
[06:14:00] chk_wild_kill_counter (function)
[06:14:00] on_throw_grenade (function)
[06:14:00] clear_equipment (function)
[06:14:00] on_killshot (function)
[06:14:00] get_local_cocaine_damage_absorption_max_ratio (function)
[06:14:00] default_player_state (function)
[06:14:00] has_enabled_cooldown_upgrade (function)
[06:14:00] unaquire_cooldown_upgrade (function)
[06:14:00] equipment_upgrade_progress (function)
[06:14:00] get_disabled_cooldown_time (function)
[06:14:00] update_synced_cable_ties_to_peers (function)
[06:14:00] on_out_of_world (function)
[06:14:00] player_destroyed (function)
[06:14:00] body_armor_skill_addend (function)
[06:14:00] add_consumable_upgrade (function)
[06:14:00] send_message_now (function)
[06:14:00] get_contour_for_marked_enemy (function)
[06:14:00] peer_dropped_out (function)
[06:14:00] skill_dodge_chance (function)
[06:14:00] spawn_dropin_penalty (function)
[06:14:00] TARGET_COCAINE_AMOUNT (number)
[06:14:00] server_enter_vehicle (function)
[06:14:00] set_equipment_in_slot (function)
[06:14:00] set_synced_deployable_equipment (function)
[06:14:00] select_next_item (function)
[06:14:00] reset_acuracy_multiplier (function)
[06:14:00] set_player_state (function)
[06:14:00] update_carry_to_peer (function)
[06:14:00] update_synced_carry_to_peers (function)
[06:14:00] update_equipment_possession_to_peers (function)
[06:14:00] send_activate_temporary_team_upgrade_to_peer (function)
[06:14:00] chk_minion_limit_reached (function)
[06:14:00] get_synced_carry (function)
[06:14:00] send_activate_temporary_team_upgrade_to_peers (function)
[06:14:00] player_unit_name (function)
[06:14:00] unregister_message (function)
[06:14:00] _setup_rules (function)
[06:14:00] set_synced_cocaine_stacks (function)
[06:14:00] update_synced_cocaine_stacks_to_peers (function)
[06:14:00] get_best_cocaine_damage_absorption_ratio (function)
[06:14:00] local_player (function)
[06:14:00] _SHOCK_AND_AWE_TARGET_KILLS (number)
[06:14:00] _on_expert_handling_event (function)
[06:14:00] activate_temporary_property (function)
[06:14:00] set_synced_carry (function)
[06:14:00] current_state (function)
[06:14:00] availible_weapons (function)
[06:14:00] update_deployable_selection_to_peers (function)
[06:14:00] ------------------------------------
[06:14:00] Found 419 members.
[06:14:00] ====================================
[06:14:00] PlayerStandard hook loaded.
[06:14:00] ====================================
[06:14:00] Dumping class: PlayerStandard
[06:14:00] ====================================
[06:14:00] MOVER_STAND (userdata)
[06:14:00] _update_steelsight_timers (function)
[06:14:00] interaction_blocked (function)
[06:14:00] _check_action_ladder (function)
[06:14:00] _end_action_running (function)
[06:14:00] _create_on_controller_disabled_input (function)
[06:14:00] _primary_action_funcs (table)
[06:14:00] _melee_repeat_allowed (function)
[06:14:00] get_movement_state (function)
[06:14:00] _check_action_weapon_gadget (function)
[06:14:00] set_animation_state (function)
[06:14:00] update_check_actions_paused (function)
[06:14:00] _start_action_use_item (function)
[06:14:00] _get_max_walk_speed (function)
[06:14:00] bleed_out_blocked (function)
[06:14:00] _check_action_throw_projectile (function)
[06:14:00] _need_to_play_idle_redirect (function)
[06:14:00] _get_projectile_throw_offset (function)
[06:14:00] _play_equip_animation (function)
[06:14:00] _check_action_deploy_bipod (function)
[06:14:00] _is_charging_weapon (function)
[06:14:00] _check_tap_to_interact_toggle_timer (function)
[06:14:00] _calculate_standard_variables (function)
[06:14:00] _is_deploying_bipod (function)
[06:14:00] discharge_melee (function)
[06:14:00] __index (table)
[06:14:00] interupt_interact (function)
[06:14:00] _toggle_gadget (function)
[06:14:00] update_fov_external (function)
[06:14:00] _get_interaction_target (function)
[06:14:00] _end_action_use_item (function)
[06:14:00] projectile_throw_delays (table)
[06:14:00] _check_action_night_vision (function)
[06:14:00] set_animation_weapon_hold (function)
[06:14:00] _update_crosshair_offset (function)
[06:14:00] is_deploying (function)
[06:14:00] is_network_move_allowed (function)
[06:14:00] _clear_tap_to_interact (function)
[06:14:00] _update_ground_ray (function)
[06:14:00] new (function)
[06:14:00] _get_input (function)
[06:14:00] init (function)
[06:14:00] _update_interaction_timers (function)
[06:14:00] in_steelsight (function)
[06:14:00] _interupt_action_throw_grenade (function)
[06:14:00] _start_action_throw_projectile (function)
[06:14:00] get_melee_damage_result (function)
[06:14:00] _update_fwd_ray (function)
[06:14:00] say_line (function)
[06:14:00] pre_destroy (function)
[06:14:00] on_ladder (function)
[06:14:00] _interupt_action_reload (function)
[06:14:00] _perform_sync_melee_damage (function)
[06:14:00] _play_unequip_animation (function)
[06:14:00] _check_action_melee (function)
[06:14:00] _start_action_equip (function)
[06:14:00] _interupt_action_running (function)
[06:14:00] _start_action_melee (function)
[06:14:00] _interupt_action_ducking (function)
[06:14:00] apply_slowdown (function)
[06:14:00] _is_throwing_grenade (function)
[06:14:00] set_night_vision_state (function)
[06:14:00] inventory_clbk_listener (function)
[06:14:00] _update_movement (function)
[06:14:00] get_weapon_hold_str (function)
[06:14:00] _end_action_interact (function)
[06:14:00] set_stance_switch_delay (function)
[06:14:00] _end_action_charging_weapon (function)
[06:14:00] _chk_action_stop_shooting (function)
[06:14:00] exit (function)
[06:14:00] _interupt_action_use_item (function)
[06:14:00] _check_use_item (function)
[06:14:00] _add_unit_to_char_table (function)
[06:14:00] _chk_floor_moving_pos (function)
[06:14:00] _start_action_charging_weapon (function)
[06:14:00] push (function)
[06:14:00] ducking (function)
[06:14:00] set_running (function)
[06:14:00] _do_melee_damage (function)
[06:14:00] _find_pickups (function)
[06:14:00] _play_distance_interact_redirect (function)
[06:14:00] _changing_weapon (function)
[06:14:00] _start_action_equip_weapon (function)
[06:14:00] _update_throw_grenade_timers (function)
[06:14:00] _start_action_ducking (function)
[06:14:00] _get_swap_speed_multiplier (function)
[06:14:00] in_air (function)
[06:14:00] running (function)
[06:14:00] in_throw_projectile (function)
[06:14:00] _check_action_equip (function)
[06:14:00] _is_reloading (function)
[06:14:00] _break_intimidate_redirect (function)
[06:14:00] _check_tap_to_interact_toggle_hold (function)
[06:14:00] _is_underbarrel_attachment_active (function)
[06:14:00] _determine_move_direction (function)
[06:14:00] save (function)
[06:14:00] _start_action_reload (function)
[06:14:00] _start_action_reload_enter (function)
[06:14:00] _update_charging_weapon_timers (function)
[06:14:00] _check_melee_special_damage (function)
[06:14:00] _update_zipline_timers (function)
[06:14:00] force_input (function)
[06:14:00] second_sight_use_steelsight_unit (function)
[06:14:00] _break_interact_redirect (function)
[06:14:00] _check_action_primary_attack (function)
[06:14:00] _action_interact_forbidden (function)
[06:14:00] _check_action_deploy_underbarrel (function)
[06:14:00] _play_interact_redirect (function)
[06:14:00] _check_action_use_ability (function)
[06:14:00] _chk_tap_to_interact_enable (function)
[06:14:00] _update_use_item_timers (function)
[06:14:00] get_zoom_fov (function)
[06:14:00] _interupt_action_melee (function)
[06:14:00] _update_equip_weapon_timers (function)
[06:14:00] _end_action_steelsight (function)
[06:14:00] _interupt_action_throw_projectile (function)
[06:14:00] _can_stand (function)
[06:14:00] _primary_action_get_value (table)
[06:14:00] get_bullet_damage_result (function)
[06:14:00] _upd_stance_switch_delay (function)
[06:14:00] is_shooting_count (function)
[06:14:00] _start_action_intimidate (function)
[06:14:00] _play_melee_sound (function)
[06:14:00] __module__ (table)
[06:14:00] _update_throw_projectile_timers (function)
[06:14:00] _check_action_jump (function)
[06:14:00] _is_throwing_projectile (function)
[06:14:00] _check_action_steelsight (function)
[06:14:00] _does_deploying_limit_movement (function)
[06:14:00] current_anim_state_name (function)
[06:14:00] _check_action_duck (function)
[06:14:00] _start_action_interact (function)
[06:14:00] _check_action_change_equipment (function)
[06:14:00] in_melee (function)
[06:14:00] MOVER_DUCK (userdata)
[06:14:00] _start_action_ladder (function)
[06:14:00] is_second_sight_on (function)
[06:14:00] _get_interaction_speed (function)
[06:14:00] _update_running_timers (function)
[06:14:00] _check_action_run (function)
[06:14:00] _get_unit_intimidation_action (function)
[06:14:00] _update_network_position (function)
[06:14:00] _update_omniscience (function)
[06:14:00] _start_action_running (function)
[06:14:00] _interupt_action_cash_inspect (function)
[06:14:00] _is_cash_inspecting (function)
[06:14:00] _check_action_cash_inspect (function)
[06:14:00] get_fire_weapon_direction (function)
[06:14:00] is_switching_stances (function)
[06:14:00] get_fwd_ray (function)
[06:14:00] _upd_nav_data (function)
[06:14:00] MOVEMENT_DEADZONE (number)
[06:14:00] _interupt_action_charging_weapon (function)
[06:14:00] _start_action_zipline (function)
[06:14:00] _check_action_zipline (function)
[06:14:00] _update_network_jump (function)
[06:14:00] _perform_jump (function)
[06:14:00] _on_zipline (function)
[06:14:00] shooting (function)
[06:14:00] _do_action_throw_projectile (function)
[06:14:00] _check_tap_to_interact_tap (function)
[06:14:00] ANIM_STATES (table)
[06:14:00] start_deploying_bipod (function)
[06:14:00] _start_action_steelsight (function)
[06:14:00] get_fire_weapon_position (function)
[06:14:00] send_reload_interupt (function)
[06:14:00] tweak_data_clbk_reload (function)
[06:14:00] update (function)
[06:14:00] _interacting (function)
[06:14:00] _enter (function)
[06:14:00] _update_reload_timers (function)
[06:14:00] _do_action_intimidate (function)
[06:14:00] _get_intimidation_action (function)
[06:14:00] _MELEE_VARS (table)
[06:14:00] _activate_mover (function)
[06:14:00] is_equipping (function)
[06:14:00] _show_tap_to_interact_text (function)
[06:14:00] _start_action_unequip_weapon (function)
[06:14:00] MINMAX_MELEE_SYNC (table)
[06:14:00] _update_melee_timers (function)
[06:14:00] get_equipped_weapon (function)
[06:14:00] _do_action_melee (function)
[06:14:00] _interupt_action_steelsight (function)
[06:14:00] weapon_recharge_clbk_listener (function)
[06:14:00] _stance_entered (function)
[06:14:00] _start_action_throw_grenade (function)
[06:14:00] _switch_equipment (function)
[06:14:00] _end_action_ducking (function)
[06:14:00] super (table)
[06:14:00] _update_check_actions (function)
[06:14:00] _check_action_reload (function)
[06:14:00] _on_menu_active_changed (function)
[06:14:00] _start_action_jump (function)
[06:14:00] _is_using_bipod (function)
[06:14:00] _interupt_action_interact (function)
[06:14:00] _check_action_interact (function)
[06:14:00] get_animation (function)
[06:14:00] _check_stop_shooting (function)
[06:14:00] _end_action_ladder (function)
[06:14:00] _can_run_directional (function)
[06:14:00] _get_walk_headbob (function)
[06:14:00] _get_melee_charge_lerp_value (function)
[06:14:00] enter (function)
[06:14:00] _check_step (function)
[06:14:00] _check_change_weapon (function)
[06:14:00] _check_tap_to_interact_inputs (function)
[06:14:00] _calc_melee_hit_ray (function)
[06:14:00] _end_action_zipline (function)
[06:14:00] _projectile_repeat_allowed (function)
[06:14:00] _update_foley (function)
[06:14:00] _interupt_action_ladder (function)
[06:14:00] _get_dir_str_from_vec (function)
[06:14:00] _check_action_weapon_firemode (function)
[06:14:00] is_reticle_aim (function)
[06:14:00] _is_meleeing (function)
[06:14:00] _upd_attention (function)
[06:14:00] _check_action_throw_grenade (function)
[06:14:00] ------------------------------------
[06:14:00] Found 217 members.
[06:14:00] ====================================
[23:26:21] ===== EXTENDED DUMP (PlayerDamage, PlayerMovement, PlayerCamera, CopBrain) =====
[23:26:21] ====================================
[23:26:21] Dumping class: PlayerDamage
[23:26:21] ====================================
[23:26:21] _max_health (function)
[23:26:21] post_init (function)
[23:26:21] arrested (function)
[23:26:21] set_god_mode (function)
[23:26:21] set_regenerate_timer_to_max (function)
[23:26:21] _chk_can_take_dmg (function)
[23:26:21] damage_killzone (function)
[23:26:21] remaining_delayed_damage (function)
[23:26:21] copr_update_attack_data (function)
[23:26:21] damage_fall (function)
[23:26:21] print (function)
[23:26:21] incapacitated (function)
[23:26:21] _armor_steps (function)
[23:26:21] damage_explosion (function)
[23:26:21] _on_damage_event (function)
[23:26:21] is_downed (function)
[23:26:21] on_incapacitated (function)
[23:26:21] band_aid_health (function)
[23:26:21] update_incapacitated (function)
[23:26:21] get_current_slowdown (function)
[23:26:21] _bleed_out_damage (function)
[23:26:21] on_concussion (function)
[23:26:21] consume_messiah_charge (function)
[23:26:21] change_health (function)
[23:26:21] need_revive (function)
[23:26:21] _on_exit_swansong_event (function)
[23:26:21] set_health (function)
[23:26:21] __index (table)
[23:26:21] _update_regenerate_timer (function)
[23:26:21] on_downed (function)
[23:26:21] can_be_tased (function)
[23:26:21] force_into_bleedout (function)
[23:26:21] _on_revive_event (function)
[23:26:21] _chk_cheat_death (function)
[23:26:21] set_mission_damage_blockers (function)
[23:26:21] armor_stored_health (function)
[23:26:21] consume_armor_stored_health (function)
[23:26:21] new (function)
[23:26:21] set_revive_boost (function)
[23:26:21] on_copr_killshot (function)
[23:26:21] _ARMOR_DAMAGE_REDUCTION_STEPS (table)
[23:26:21] _hit_direction (function)
[23:26:21] init (function)
[23:26:21] disable_berserker (function)
[23:26:21] replenish (function)
[23:26:21] _call_listeners (function)
[23:26:21] _remove_on_damage_event (function)
[23:26:21] _UPPERS_COOLDOWN (number)
[23:26:21] add_temporary_dodge (function)
[23:26:21] god_mode (function)
[23:26:21] _init_standard_listeners (function)
[23:26:21] clbk_msg_overwrite_criminal_hurt (function)
[23:26:21] is_friendly_fire (function)
